run_id,source_dir,source_run_id,hidden_dim,learning_rate,lr_decay,weight_decay,best_epoch,best_val_accuracy,final_train_accuracy,final_val_accuracy,elapsed_seconds
14,grid_outputs_numpy16_highlr_30,14,128,0.08,0.94,0.0001,25,0.6506172839506172,0.7218518518518519,0.6461728395061729,4.598279237747192
15,grid_outputs_numpy16_highlr_30,15,128,0.08,0.94,0.0005,27,0.6464197530864197,0.7228571428571429,0.6427160493827161,4.639165639877319
16,grid_outputs_numpy16_highlr_30,16,128,0.08,0.97,0.0,25,0.6553086419753087,0.7361375661375661,0.6479012345679013,5.252713441848755
17,grid_outputs_numpy16_highlr_30,17,128,0.08,0.97,0.0001,24,0.6577777777777778,0.7375661375661375,0.6488888888888888,4.910578012466431
18,grid_outputs_numpy16_highlr_30,18,128,0.08,0.97,0.0005,27,0.6565432098765432,0.7391534391534391,0.6530864197530865,4.490207195281982
19,grid_outputs_numpy16_highlr_30,19,128,0.12,0.9,0.0,27,0.6474074074074074,0.7147089947089947,0.6434567901234568,4.485558271408081
20,grid_outputs_numpy16_highlr_30,20,128,0.12,0.9,0.0001,28,0.6444444444444445,0.7151322751322752,0.6434567901234568,4.618870258331299
21,grid_outputs_numpy16_highlr_30,21,128,0.12,0.9,0.0005,27,0.6454320987654321,0.7126455026455026,0.6409876543209877,4.6327805519104
22,grid_outputs_numpy16_highlr_30,22,128,0.12,0.94,0.0,29,0.6553086419753087,0.7430687830687831,0.654074074074074,4.514265537261963
23,grid_outputs_numpy16_highlr_30,23,128,0.12,0.94,0.0001,25,0.657283950617284,0.7443915343915344,0.6553086419753087,4.543616533279419
24,grid_outputs_numpy16_highlr_30,24,128,0.12,0.94,0.0005,26,0.6634567901234568,0.7456613756613757,0.6632098765432098,4.381548643112183
25,grid_outputs_numpy16_highlr_30,25,128,0.12,0.97,0.0,28,0.662962962962963,0.7370899470899471,0.6288888888888889,4.3825225830078125
26,grid_outputs_numpy16_highlr_30,26,128,0.12,0.97,0.0001,30,0.6602469135802469,0.7602645502645503,0.6602469135802469,4.449609041213989
27,grid_outputs_numpy16_highlr_30,27,128,0.12,0.97,0.0005,28,0.6632098765432098,0.7477248677248677,0.6471604938271605,4.371034860610962
28,grid_outputs_numpy16_highlr_30,28,128,0.16,0.9,0.0,24,0.6523456790123456,0.7293121693121694,0.6501234567901235,4.432952404022217
29,grid_outputs_numpy16_highlr_30,29,128,0.16,0.9,0.0001,29,0.662962962962963,0.7261904761904762,0.6614814814814814,4.459319829940796
30,grid_outputs_numpy16_highlr_30,30,128,0.16,0.9,0.0005,26,0.6649382716049382,0.7276190476190476,0.6607407407407407,4.487924575805664
31,grid_outputs_numpy16_highlr_30,31,128,0.16,0.94,0.0,28,0.6590123456790123,0.7542857142857143,0.6577777777777778,4.466373443603516
32,grid_outputs_numpy16_highlr_30,32,128,0.16,0.94,0.0001,30,0.6664197530864198,0.7576190476190476,0.6664197530864198,4.511839866638184
33,grid_outputs_numpy16_highlr_30,33,128,0.16,0.94,0.0005,28,0.654320987654321,0.7443915343915344,0.654074074074074,4.636129140853882
34,grid_outputs_numpy16_highlr_30,34,128,0.16,0.97,0.0,30,0.6491358024691358,0.7564021164021164,0.6491358024691358,4.775982618331909
35,grid_outputs_numpy16_highlr_30,35,128,0.16,0.97,0.0001,27,0.662716049382716,0.7598941798941798,0.6493827160493827,4.542241096496582
36,grid_outputs_numpy16_highlr_30,36,128,0.16,0.97,0.0005,30,0.6708641975308642,0.7566666666666667,0.6708641975308642,5.223958253860474
37,grid_outputs_numpy16_30,1,256,0.005,0.95,0.0,29,0.5335802469135802,0.5584656084656084,0.5320987654320988,6.385748624801636
38,grid_outputs_numpy16_30,2,256,0.005,0.95,0.0001,27,0.5323456790123456,0.5583068783068783,0.5318518518518518,6.364211559295654
39,grid_outputs_numpy16_30,3,256,0.005,0.97,0.0,30,0.5474074074074075,0.574973544973545,0.5474074074074075,6.745654821395874
40,grid_outputs_numpy16_30,4,256,0.005,0.97,0.0001,30,0.5461728395061728,0.5724867724867725,0.5461728395061728,6.168647050857544
41,grid_outputs_numpy16_30,5,256,0.01,0.95,0.0,30,0.5666666666666667,0.605026455026455,0.5666666666666667,6.497264862060547
42,grid_outputs_numpy16_30,6,256,0.01,0.95,0.0001,27,0.5651851851851852,0.6027513227513227,0.5637037037037037,6.5917603969573975
43,grid_outputs_numpy16_30,7,256,0.01,0.97,0.0,30,0.577283950617284,0.6194708994708995,0.577283950617284,6.221858739852905
44,grid_outputs_numpy16_30,8,256,0.01,0.97,0.0001,30,0.5787654320987654,0.6197883597883598,0.5787654320987654,6.140703201293945
45,grid_outputs_numpy16_30,9,256,0.02,0.95,0.0,30,0.6081481481481481,0.651957671957672,0.6081481481481481,6.073746681213379
46,grid_outputs_numpy16_30,10,256,0.02,0.95,0.0001,30,0.6022222222222222,0.6513227513227513,0.6022222222222222,5.988214492797852
47,grid_outputs_numpy16_30,11,256,0.02,0.97,0.0,29,0.6150617283950617,0.6657671957671958,0.6140740740740741,6.475876092910767
48,grid_outputs_numpy16_30,12,256,0.02,0.97,0.0001,30,0.6192592592592593,0.6691005291005291,0.6192592592592593,6.14524245262146
49,grid_outputs_numpy16_highlr_30,37,256,0.04,0.9,0.0,30,0.6167901234567901,0.6684656084656084,0.6167901234567901,6.879436731338501
50,grid_outputs_numpy16_highlr_30,38,256,0.04,0.9,0.0001,27,0.6148148148148148,0.6678306878306879,0.6138271604938271,6.5065460205078125
51,grid_outputs_numpy16_highlr_30,39,256,0.04,0.9,0.0005,30,0.6175308641975309,0.6658201058201059,0.6175308641975309,6.124958515167236
52,grid_outputs_numpy16_highlr_30,40,256,0.04,0.94,0.0,26,0.6350617283950617,0.6930687830687831,0.6333333333333333,6.089125871658325
53,grid_outputs_numpy16_highlr_30,41,256,0.04,0.94,0.0001,25,0.6372839506172839,0.6941269841269841,0.6370370370370371,6.188653945922852
54,grid_outputs_numpy16_highlr_30,42,256,0.04,0.94,0.0005,30,0.6353086419753087,0.6935449735449736,0.6353086419753087,6.276676654815674
55,grid_outputs_numpy16_highlr_30,43,256,0.04,0.97,0.0,28,0.6479012345679013,0.7129629629629629,0.6441975308641975,6.363476753234863
56,grid_outputs_numpy16_highlr_30,44,256,0.04,0.97,0.0001,28,0.6461728395061729,0.7164021164021164,0.6437037037037037,5.848596096038818
57,grid_outputs_numpy16_highlr_30,45,256,0.04,0.97,0.0005,26,0.6466666666666666,0.7073015873015873,0.6409876543209877,5.792866468429565
58,grid_outputs_numpy16_highlr_30,46,256,0.08,0.9,0.0,24,0.6498765432098765,0.7147089947089947,0.6466666666666666,6.093861818313599
59,grid_outputs_numpy16_highlr_30,47,256,0.08,0.9,0.0001,25,0.6466666666666666,0.7144973544973545,0.6432098765432098,5.736326456069946
60,grid_outputs_numpy16_highlr_30,48,256,0.08,0.9,0.0005,27,0.6501234567901235,0.7112698412698413,0.6464197530864197,5.823418378829956
61,grid_outputs_numpy16_highlr_30,49,256,0.08,0.94,0.0,25,0.6590123456790123,0.7443386243386243,0.6582716049382716,5.628983020782471
62,grid_outputs_numpy16_highlr_30,50,256,0.08,0.94,0.0001,29,0.6639506172839507,0.7435978835978836,0.6570370370370371,5.888930797576904
63,grid_outputs_numpy16_highlr_30,51,256,0.08,0.94,0.0005,28,0.6612345679012346,0.742910052910053,0.6567901234567901,5.683699131011963
64,grid_outputs_numpy16_highlr_30,52,256,0.08,0.97,0.0,29,0.6671604938271605,0.766084656084656,0.662716049382716,5.9799957275390625
65,grid_outputs_numpy16_highlr_30,53,256,0.08,0.97,0.0001,29,0.6698765432098766,0.7717989417989418,0.6666666666666666,6.451817274093628
66,grid_outputs_numpy16_highlr_30,54,256,0.08,0.97,0.0005,28,0.668641975308642,0.7581481481481481,0.6624691358024691,5.985227823257446
67,grid_outputs_numpy16_highlr_30,55,256,0.12,0.9,0.0,23,0.6637037037037037,0.7387830687830688,0.6592592592592592,5.752471923828125
68,grid_outputs_numpy16_highlr_30,56,256,0.12,0.9,0.0001,28,0.6590123456790123,0.737989417989418,0.6590123456790123,5.867611885070801
69,grid_outputs_numpy16_highlr_30,57,256,0.12,0.9,0.0005,25,0.6619753086419753,0.7342857142857143,0.6582716049382716,5.768954753875732
70,grid_outputs_numpy16_highlr_30,58,256,0.12,0.94,0.0,29,0.6706172839506173,0.7694708994708994,0.668641975308642,5.874978542327881
71,grid_outputs_numpy16_highlr_30,59,256,0.12,0.94,0.0001,30,0.6671604938271605,0.7678835978835978,0.6671604938271605,5.710158109664917
72,grid_outputs_numpy16_highlr_30,60,256,0.12,0.94,0.0005,30,0.6688888888888889,0.7665608465608466,0.6688888888888889,5.770720958709717
73,grid_outputs_numpy16_highlr_30,61,256,0.12,0.97,0.0,30,0.6674074074074074,0.7907407407407407,0.6674074074074074,5.812888860702515
74,grid_outputs_numpy16_highlr_30,62,256,0.12,0.97,0.0001,27,0.6679012345679012,0.7743386243386243,0.6545679012345679,6.6679909229278564
75,grid_outputs_numpy16_highlr_30,63,256,0.12,0.97,0.0005,28,0.6708641975308642,0.7862433862433862,0.6664197530864198,6.587615728378296
76,grid_outputs_numpy16_highlr_30,64,256,0.16,0.9,0.0,25,0.6641975308641975,0.7486772486772487,0.6637037037037037,5.802700996398926
77,grid_outputs_numpy16_highlr_30,65,256,0.16,0.9,0.0001,28,0.6671604938271605,0.7533862433862434,0.6641975308641975,5.755574941635132
78,grid_outputs_numpy16_highlr_30,66,256,0.16,0.9,0.0005,29,0.6612345679012346,0.7443915343915344,0.6607407407407407,6.143969535827637
79,grid_outputs_numpy16_highlr_30,67,256,0.16,0.94,0.0,29,0.6730864197530865,0.7816931216931217,0.6725925925925926,5.686265707015991
80,grid_outputs_numpy16_highlr_30,68,256,0.16,0.94,0.0001,30,0.6765432098765433,0.7844973544973545,0.6765432098765433,5.70896053314209
81,grid_outputs_numpy16_highlr_30,69,256,0.16,0.94,0.0005,30,0.6780246913580247,0.7831746031746032,0.6780246913580247,5.809189796447754
82,grid_outputs_numpy16_highlr_30,70,256,0.16,0.97,0.0,28,0.6735802469135802,0.7885185185185185,0.671604938271605,5.803278923034668
83,grid_outputs_numpy16_highlr_30,71,256,0.16,0.97,0.0001,28,0.6708641975308642,0.7992592592592592,0.6708641975308642,5.8060619831085205
84,grid_outputs_numpy16_highlr_30,72,256,0.16,0.97,0.0005,30,0.6753086419753086,0.79994708994709,0.6753086419753086,5.887526273727417
85,grid_outputs_numpy16_30,13,512,0.005,0.95,0.0,30,0.5404938271604939,0.5661904761904762,0.5404938271604939,10.370405197143555
86,grid_outputs_numpy16_30,14,512,0.005,0.95,0.0001,30,0.5409876543209876,0.5676719576719577,0.5409876543209876,10.14073896408081
